srch_id,prop_id
956,13940
1359,12563
2306,15636
302,65
5866,35324
3459,4565
3896,4253
1224,72700
1636,11728
958,10988
5579,134820
1359,48510
1261,49310
65,131591
5616,53494
4972,50573
6214,14417
742,99743
956,1690
5210,27525
6442,121048
1675,820
5546,50976
4175,73828
1858,10429
2829,77139
5500,77345
5449,42991
4969,4488
2155,28585
2739,28858
5624,4810
2598,100028
2788,121048
6271,2016
953,7268
5345,13991
3443,107223
4969,14249
3307,1085
302,75837
4869,99883
1622,86791
6445,38288
6294,61879
2989,115378
752,69947
5097,134823
3754,108739
859,109644
5871,31814
2134,111491
3086,49577
4234,32379
2915,137784
2866,77283
1504,4970
4814,23457
3655,127523
4814,59198
32,116133
6086,55636
5262,138546
813,120417
414,127574
727,32400
4518,6846
6135,30945
2696,45080
6164,10763
1954,16072
994,108942
6214,31835
5880,53494
3451,134764
664,4058
65,69567
4164,35040
542,5223
2366,103766
1636,37636
1383,135551
5803,49873
878,2353
1224,69923
1224,22775
4758,41613
4158,54451
2587,135369
3822,25827
32,133528
3443,15518
2788,52150
6059,92993
2598,96542
1294,28648
5616,71181
1294,929
2367,127214
1628,35712
1766,32358
6064,15759
3971,4905
13,98818
338,13940
3667,39961
2915,20726
2016,44327
4572,77748
2155,97491
3320,111824
727,132936
2367,85221
3199,99376
2524,95247
843,133943
3443,115368
6086,56662
5458,23311
2960,65660
5578,97722
2083,5296
1420,30713
544,7488
5935,2827
1350,11177
4239,65235
3949,35865
3403,127375
1238,8848
2151,32832
5616,126657
2323,81858
1079,82843
1429,85445
280,136908
3161,131296
110,11414
4125,96104
5987,137937
1954,105635
4291,70670
2231,20310
855,109244
2602,11177
344,59780
2799,86661
1523,118859
878,122859
2071,114066
1985,134210
6165,28602
1482,38801
3001,138759
2406,40525
6193,103763
5248,75218
4323,11746
2727,75581
4622,69903
2362,23457
3493,10674
2552,19376
1636,62215
813,93650
4471,50237
2362,59198
4141,120963
1444,138143
2103,5439
5345,102871
1416,102347
6135,4488
1748,106930
6245,79266
6294,100139
5901,4510
5667,27690
3764,5010
5935,19392
409,17831
5216,77889
1133,28978
588,28052
159,95442
526,37856
2856,30741
843,93974
6257,42358
2866,61060
2661,20249
1671,14336
4869,114835
1488,112907
5666,108666
1675,6080
6545,78549
6245,110855
1201,26660
6124,62890
4031,42200
804,132210
4361,139435
951,131951
1933,55028
3095,62990
2265,102440
916,44143
4005,26890
1971,92636
625,54559
2366,127354
6002,12447
3237,102851
5108,23304
1849,45498
2249,54795
3285,2933
270,112874
782,120151
1592,22627
2598,101574
5916,22062
506,124733
1769,35197
1282,62726
65,94114
6258,28978
6055,82967
1009,74707
2913,7040
6135,23727
3403,60155
1076,104296
2800,89509
1523,23228
409,60370
3626,140108
6373,32317
513,94499
2739,28055
4441,94079
3772,124220
6076,81137
5757,60155
691,24624
2488,3934
2035,27101
2923,61953
2306,139909
5813,58118
302,117493
4972,96924
6164,22578
6197,64762
1590,86126
1861,41944
4769,120036
1821,55380
1933,39646
236,92039
6257,95812
5753,140278
55,9957
5252,58443
1013,127297
1561,90718
6131,42167
951,105466
5798,24441
3883,101188
3130,46961
6135,14249
4032,70898
3411,126978
5345,9673
6189,27312
232,1230
4460,98633
53,13449
5321,125479
4757,56229
1817,49141
4291,58193
3628,46097
3667,66435
4334,118457
5935,64217
1999,16984
2455,88366
6137,73112
4771,41733
2429,139322
4184,92081
2233,30391
4606,126657
2035,79299
3388,106503
6214,41819
4576,108359
4365,45164
1470,132925
3824,4682
2649,128900
2152,81986
6257,61863
6375,6925
3904,36783
3437,82967
2334,17940
4471,48396
1956,106
5345,138713
1985,102731
176,27525
849,108955
2122,49495
6514,99798
2649,109859
4604,94732
6540,35253
2465,48004
5389,16736
389,79020
414,47310
1968,68528
2627,109373
2926,7941
3654,10429
1165,88310
6164,113229
5216,120878
5308,35922
4518,88787
492,73504
3759,7564
6453,27357
1754,71623
6583,105310
4463,43745
91,57532
4815,89030
5117,28711
2723,107652
6273,139309
5546,83102
2935,15866
6257,84669
5305,74164
4739,6838
1821,231
6059,4034
3649,53341
1158,81295
4820,16749
5686,102856
6313,61775
1608,23594
567,50966
4141,110950
5151,126818
4643,61978
401,27788
1616,30589
6214,8417
6045,102413
5949,134687
956,91040
215,22578
5916,17551
339,39518
1152,136008
328,19546
4453,56727
6135,89102
5345,7643
3018,94077
3392,64762
1087,48940
5324,70747
